Year,Sun Sign,Sun Window Start (YYYY-MM-DD),Sun Window End (YYYY-MM-DD),Target Moon Sign,Moon-in-Target Dates Inside Sun Window (paste from ephemeris),Rising (optional),Optional Filter (phase/retro),Candidate DOBs (derived),Notes / Confidence
1950,Aries,,,,,,,,
1950,Taurus,,,,,,,,
1950,Gemini,,,,,,,,
1950,Cancer,,,,,,,,
1950,Leo,,,,,,,,
1950,Virgo,,,,,,,,
1950,Libra,,,,,,,,
1950,Scorpio,,,,,,,,
1950,Sagittarius,,,,,,,,
1950,Capricorn,,,,,,,,
1950,Aquarius,,,,,,,,
1950,Pisces,,,,,,,,
1951,Aries,,,,,,,,
1951,Taurus,,,,,,,,
1951,Gemini,,,,,,,,
1951,Cancer,,,,,,,,
1951,Leo,,,,,,,,
1951,Virgo,,,,,,,,
1951,Libra,,,,,,,,
1951,Scorpio,,,,,,,,
1951,Sagittarius,,,,,,,,
1951,Capricorn,,,,,,,,
1951,Aquarius,,,,,,,,
1951,Pisces,,,,,,,,
1952,Aries,,,,,,,,
1952,Taurus,,,,,,,,
1952,Gemini,,,,,,,,
1952,Cancer,,,,,,,,
1952,Leo,,,,,,,,
1952,Virgo,,,,,,,,
1952,Libra,,,,,,,,
1952,Scorpio,,,,,,,,
1952,Sagittarius,,,,,,,,
1952,Capricorn,,,,,,,,
1952,Aquarius,,,,,,,,
1952,Pisces,,,,,,,,
1953,Aries,,,,,,,,
1953,Taurus,,,,,,,,
1953,Gemini,,,,,,,,
1953,Cancer,,,,,,,,
1953,Leo,,,,,,,,
1953,Virgo,,,,,,,,
1953,Libra,,,,,,,,
1953,Scorpio,,,,,,,,
1953,Sagittarius,,,,,,,,
1953,Capricorn,,,,,,,,
1953,Aquarius,,,,,,,,
1953,Pisces,,,,,,,,
1954,Aries,,,,,,,,
1954,Taurus,,,,,,,,
1954,Gemini,,,,,,,,
1954,Cancer,,,,,,,,
1954,Leo,,,,,,,,
1954,Virgo,,,,,,,,
1954,Libra,,,,,,,,
1954,Scorpio,,,,,,,,
1954,Sagittarius,,,,,,,,
1954,Capricorn,,,,,,,,
1954,Aquarius,,,,,,,,
1954,Pisces,,,,,,,,
1955,Aries,,,,,,,,
1955,Taurus,,,,,,,,
1955,Gemini,,,,,,,,
1955,Cancer,,,,,,,,
1955,Leo,,,,,,,,
1955,Virgo,,,,,,,,
1955,Libra,,,,,,,,
1955,Scorpio,,,,,,,,
1955,Sagittarius,,,,,,,,
1955,Capricorn,,,,,,,,
1955,Aquarius,,,,,,,,
1955,Pisces,,,,,,,,
1956,Aries,,,,,,,,
1956,Taurus,,,,,,,,
1956,Gemini,,,,,,,,
1956,Cancer,,,,,,,,
1956,Leo,,,,,,,,
1956,Virgo,,,,,,,,
1956,Libra,,,,,,,,
1956,Scorpio,,,,,,,,
1956,Sagittarius,,,,,,,,
1956,Capricorn,,,,,,,,
1956,Aquarius,,,,,,,,
1956,Pisces,,,,,,,,
1957,Aries,,,,,,,,
1957,Taurus,,,,,,,,
1957,Gemini,,,,,,,,
1957,Cancer,,,,,,,,
1957,Leo,,,,,,,,
1957,Virgo,,,,,,,,
1957,Libra,,,,,,,,
1957,Scorpio,,,,,,,,
1957,Sagittarius,,,,,,,,
1957,Capricorn,,,,,,,,
1957,Aquarius,,,,,,,,
1957,Pisces,,,,,,,,
1958,Aries,,,,,,,,
1958,Taurus,,,,,,,,
1958,Gemini,,,,,,,,
1958,Cancer,,,,,,,,
1958,Leo,,,,,,,,
1958,Virgo,,,,,,,,
1958,Libra,,,,,,,,
1958,Scorpio,,,,,,,,
1958,Sagittarius,,,,,,,,
1958,Capricorn,,,,,,,,
1958,Aquarius,,,,,,,,
1958,Pisces,,,,,,,,
1959,Aries,,,,,,,,
1959,Taurus,,,,,,,,
1959,Gemini,,,,,,,,
1959,Cancer,,,,,,,,
1959,Leo,,,,,,,,
1959,Virgo,,,,,,,,
1959,Libra,,,,,,,,
1959,Scorpio,,,,,,,,
1959,Sagittarius,,,,,,,,
1959,Capricorn,,,,,,,,
1959,Aquarius,,,,,,,,
1959,Pisces,,,,,,,,
1960,Aries,,,,,,,,
1960,Taurus,,,,,,,,
1960,Gemini,,,,,,,,
1960,Cancer,,,,,,,,
1960,Leo,,,,,,,,
1960,Virgo,,,,,,,,
1960,Libra,,,,,,,,
1960,Scorpio,,,,,,,,
1960,Sagittarius,,,,,,,,
1960,Capricorn,,,,,,,,
1960,Aquarius,,,,,,,,
1960,Pisces,,,,,,,,
1961,Aries,,,,,,,,
1961,Taurus,,,,,,,,
1961,Gemini,,,,,,,,
1961,Cancer,,,,,,,,
1961,Leo,,,,,,,,
1961,Virgo,,,,,,,,
1961,Libra,,,,,,,,
1961,Scorpio,,,,,,,,
1961,Sagittarius,,,,,,,,
1961,Capricorn,,,,,,,,
1961,Aquarius,,,,,,,,
1961,Pisces,,,,,,,,
1962,Aries,,,,,,,,
1962,Taurus,,,,,,,,
1962,Gemini,,,,,,,,
1962,Cancer,,,,,,,,
1962,Leo,,,,,,,,
1962,Virgo,,,,,,,,
1962,Libra,,,,,,,,
1962,Scorpio,,,,,,,,
1962,Sagittarius,,,,,,,,
1962,Capricorn,,,,,,,,
1962,Aquarius,,,,,,,,
1962,Pisces,,,,,,,,
1963,Aries,,,,,,,,
1963,Taurus,,,,,,,,
1963,Gemini,,,,,,,,
1963,Cancer,,,,,,,,
1963,Leo,,,,,,,,
1963,Virgo,,,,,,,,
1963,Libra,,,,,,,,
1963,Scorpio,,,,,,,,
1963,Sagittarius,,,,,,,,
1963,Capricorn,,,,,,,,
1963,Aquarius,,,,,,,,
1963,Pisces,,,,,,,,
1964,Aries,,,,,,,,
1964,Taurus,,,,,,,,
1964,Gemini,,,,,,,,
1964,Cancer,,,,,,,,
1964,Leo,,,,,,,,
1964,Virgo,,,,,,,,
1964,Libra,,,,,,,,
1964,Scorpio,,,,,,,,
1964,Sagittarius,,,,,,,,
1964,Capricorn,,,,,,,,
1964,Aquarius,,,,,,,,
1964,Pisces,,,,,,,,
1965,Aries,,,,,,,,
1965,Taurus,,,,,,,,
1965,Gemini,,,,,,,,
1965,Cancer,,,,,,,,
1965,Leo,,,,,,,,
1965,Virgo,,,,,,,,
1965,Libra,,,,,,,,
1965,Scorpio,,,,,,,,
1965,Sagittarius,,,,,,,,
1965,Capricorn,,,,,,,,
1965,Aquarius,,,,,,,,
1965,Pisces,,,,,,,,
1966,Aries,,,,,,,,
1966,Taurus,,,,,,,,
1966,Gemini,,,,,,,,
1966,Cancer,,,,,,,,
1966,Leo,,,,,,,,
1966,Virgo,,,,,,,,
1966,Libra,,,,,,,,
1966,Scorpio,,,,,,,,
1966,Sagittarius,,,,,,,,
1966,Capricorn,,,,,,,,
1966,Aquarius,,,,,,,,
1966,Pisces,,,,,,,,
1967,Aries,,,,,,,,
1967,Taurus,,,,,,,,
1967,Gemini,,,,,,,,
1967,Cancer,,,,,,,,
1967,Leo,,,,,,,,
1967,Virgo,,,,,,,,
1967,Libra,,,,,,,,
1967,Scorpio,,,,,,,,
1967,Sagittarius,,,,,,,,
1967,Capricorn,,,,,,,,
1967,Aquarius,,,,,,,,
1967,Pisces,,,,,,,,
1968,Aries,,,,,,,,
1968,Taurus,,,,,,,,
1968,Gemini,,,,,,,,
1968,Cancer,,,,,,,,
1968,Leo,,,,,,,,
1968,Virgo,,,,,,,,
1968,Libra,,,,,,,,
1968,Scorpio,,,,,,,,
1968,Sagittarius,,,,,,,,
1968,Capricorn,,,,,,,,
1968,Aquarius,,,,,,,,
1968,Pisces,,,,,,,,
1969,Aries,,,,,,,,
1969,Taurus,,,,,,,,
1969,Gemini,,,,,,,,
1969,Cancer,,,,,,,,
1969,Leo,,,,,,,,
1969,Virgo,,,,,,,,
1969,Libra,,,,,,,,
1969,Scorpio,,,,,,,,
1969,Sagittarius,,,,,,,,
1969,Capricorn,,,,,,,,
1969,Aquarius,,,,,,,,
1969,Pisces,,,,,,,,
1970,Aries,,,,,,,,
1970,Taurus,,,,,,,,
1970,Gemini,,,,,,,,
1970,Cancer,,,,,,,,
1970,Leo,,,,,,,,
1970,Virgo,,,,,,,,
1970,Libra,,,,,,,,
1970,Scorpio,,,,,,,,
1970,Sagittarius,,,,,,,,
1970,Capricorn,,,,,,,,
1970,Aquarius,,,,,,,,
1970,Pisces,,,,,,,,
1971,Aries,,,,,,,,
1971,Taurus,,,,,,,,
1971,Gemini,,,,,,,,
1971,Cancer,,,,,,,,
1971,Leo,,,,,,,,
1971,Virgo,,,,,,,,
1971,Libra,,,,,,,,
1971,Scorpio,,,,,,,,
1971,Sagittarius,,,,,,,,
1971,Capricorn,,,,,,,,
1971,Aquarius,,,,,,,,
1971,Pisces,,,,,,,,
1972,Aries,,,,,,,,
1972,Taurus,,,,,,,,
1972,Gemini,,,,,,,,
1972,Cancer,,,,,,,,
1972,Leo,,,,,,,,
1972,Virgo,,,,,,,,
1972,Libra,,,,,,,,
1972,Scorpio,,,,,,,,
1972,Sagittarius,,,,,,,,
1972,Capricorn,,,,,,,,
1972,Aquarius,,,,,,,,
1972,Pisces,,,,,,,,
1973,Aries,,,,,,,,
1973,Taurus,,,,,,,,
1973,Gemini,,,,,,,,
1973,Cancer,,,,,,,,
1973,Leo,,,,,,,,
1973,Virgo,,,,,,,,
1973,Libra,,,,,,,,
1973,Scorpio,,,,,,,,
1973,Sagittarius,,,,,,,,
1973,Capricorn,,,,,,,,
1973,Aquarius,,,,,,,,
1973,Pisces,,,,,,,,
1974,Aries,,,,,,,,
1974,Taurus,,,,,,,,
1974,Gemini,,,,,,,,
1974,Cancer,,,,,,,,
1974,Leo,,,,,,,,
1974,Virgo,,,,,,,,
1974,Libra,,,,,,,,
1974,Scorpio,,,,,,,,
1974,Sagittarius,,,,,,,,
1974,Capricorn,,,,,,,,
1974,Aquarius,,,,,,,,
1974,Pisces,,,,,,,,
1975,Aries,,,,,,,,
1975,Taurus,,,,,,,,
1975,Gemini,,,,,,,,
1975,Cancer,,,,,,,,
1975,Leo,,,,,,,,
1975,Virgo,,,,,,,,
1975,Libra,,,,,,,,
1975,Scorpio,,,,,,,,
1975,Sagittarius,,,,,,,,
1975,Capricorn,,,,,,,,
1975,Aquarius,,,,,,,,
1975,Pisces,,,,,,,,
1976,Aries,,,,,,,,
1976,Taurus,,,,,,,,
1976,Gemini,,,,,,,,
1976,Cancer,,,,,,,,
1976,Leo,,,,,,,,
1976,Virgo,,,,,,,,
1976,Libra,,,,,,,,
1976,Scorpio,,,,,,,,
1976,Sagittarius,,,,,,,,
1976,Capricorn,,,,,,,,
1976,Aquarius,,,,,,,,
1976,Pisces,,,,,,,,
1977,Aries,,,,,,,,
1977,Taurus,,,,,,,,
1977,Gemini,,,,,,,,
1977,Cancer,,,,,,,,
1977,Leo,,,,,,,,
1977,Virgo,,,,,,,,
1977,Libra,,,,,,,,
1977,Scorpio,,,,,,,,
1977,Sagittarius,,,,,,,,
1977,Capricorn,,,,,,,,
1977,Aquarius,,,,,,,,
1977,Pisces,,,,,,,,
1978,Aries,,,,,,,,
1978,Taurus,,,,,,,,
1978,Gemini,,,,,,,,
1978,Cancer,,,,,,,,
1978,Leo,,,,,,,,
1978,Virgo,,,,,,,,
1978,Libra,,,,,,,,
1978,Scorpio,,,,,,,,
1978,Sagittarius,,,,,,,,
1978,Capricorn,,,,,,,,
1978,Aquarius,,,,,,,,
1978,Pisces,,,,,,,,
1979,Aries,,,,,,,,
1979,Taurus,,,,,,,,
1979,Gemini,,,,,,,,
1979,Cancer,,,,,,,,
1979,Leo,,,,,,,,
1979,Virgo,,,,,,,,
1979,Libra,,,,,,,,
1979,Scorpio,,,,,,,,
1979,Sagittarius,,,,,,,,
1979,Capricorn,,,,,,,,
1979,Aquarius,,,,,,,,
1979,Pisces,,,,,,,,
1980,Aries,,,,,,,,
1980,Taurus,,,,,,,,
1980,Gemini,,,,,,,,
1980,Cancer,,,,,,,,
1980,Leo,,,,,,,,
1980,Virgo,,,,,,,,
1980,Libra,,,,,,,,
1980,Scorpio,,,,,,,,
1980,Sagittarius,,,,,,,,
1980,Capricorn,,,,,,,,
1980,Aquarius,,,,,,,,
1980,Pisces,,,,,,,,
1981,Aries,,,,,,,,
1981,Taurus,,,,,,,,
1981,Gemini,,,,,,,,
1981,Cancer,,,,,,,,
1981,Leo,,,,,,,,
1981,Virgo,,,,,,,,
1981,Libra,,,,,,,,
1981,Scorpio,,,,,,,,
1981,Sagittarius,,,,,,,,
1981,Capricorn,,,,,,,,
1981,Aquarius,,,,,,,,
1981,Pisces,,,,,,,,
1982,Aries,,,,,,,,
1982,Taurus,,,,,,,,
1982,Gemini,,,,,,,,
1982,Cancer,,,,,,,,
1982,Leo,,,,,,,,
1982,Virgo,,,,,,,,
1982,Libra,,,,,,,,
1982,Scorpio,,,,,,,,
1982,Sagittarius,,,,,,,,
1982,Capricorn,,,,,,,,
1982,Aquarius,,,,,,,,
1982,Pisces,,,,,,,,
1983,Aries,,,,,,,,
1983,Taurus,,,,,,,,
1983,Gemini,,,,,,,,
1983,Cancer,,,,,,,,
1983,Leo,,,,,,,,
1983,Virgo,,,,,,,,
1983,Libra,,,,,,,,
1983,Scorpio,,,,,,,,
1983,Sagittarius,,,,,,,,
1983,Capricorn,,,,,,,,
1983,Aquarius,,,,,,,,
1983,Pisces,,,,,,,,
1984,Aries,,,,,,,,
1984,Taurus,,,,,,,,
1984,Gemini,,,,,,,,
1984,Cancer,,,,,,,,
1984,Leo,,,,,,,,
1984,Virgo,,,,,,,,
1984,Libra,,,,,,,,
1984,Scorpio,,,,,,,,
1984,Sagittarius,,,,,,,,
1984,Capricorn,,,,,,,,
1984,Aquarius,,,,,,,,
1984,Pisces,,,,,,,,
1985,Aries,,,,,,,,
1985,Taurus,,,,,,,,
1985,Gemini,,,,,,,,
1985,Cancer,,,,,,,,
1985,Leo,,,,,,,,
1985,Virgo,,,,,,,,
1985,Libra,,,,,,,,
1985,Scorpio,,,,,,,,
1985,Sagittarius,,,,,,,,
1985,Capricorn,,,,,,,,
1985,Aquarius,,,,,,,,
1985,Pisces,,,,,,,,
1986,Aries,,,,,,,,
1986,Taurus,,,,,,,,
1986,Gemini,,,,,,,,
1986,Cancer,,,,,,,,
1986,Leo,,,,,,,,
1986,Virgo,,,,,,,,
1986,Libra,,,,,,,,
1986,Scorpio,,,,,,,,
1986,Sagittarius,,,,,,,,
1986,Capricorn,,,,,,,,
1986,Aquarius,,,,,,,,
1986,Pisces,,,,,,,,
1987,Aries,,,,,,,,
1987,Taurus,,,,,,,,
1987,Gemini,,,,,,,,
1987,Cancer,,,,,,,,
1987,Leo,,,,,,,,
1987,Virgo,,,,,,,,
1987,Libra,,,,,,,,
1987,Scorpio,,,,,,,,
1987,Sagittarius,,,,,,,,
1987,Capricorn,,,,,,,,
1987,Aquarius,,,,,,,,
1987,Pisces,,,,,,,,
1988,Aries,,,,,,,,
1988,Taurus,,,,,,,,
1988,Gemini,,,,,,,,
1988,Cancer,,,,,,,,
1988,Leo,,,,,,,,
1988,Virgo,,,,,,,,
1988,Libra,,,,,,,,
1988,Scorpio,,,,,,,,
1988,Sagittarius,,,,,,,,
1988,Capricorn,,,,,,,,
1988,Aquarius,,,,,,,,
1988,Pisces,,,,,,,,
1989,Aries,,,,,,,,
1989,Taurus,,,,,,,,
1989,Gemini,,,,,,,,
1989,Cancer,,,,,,,,
1989,Leo,,,,,,,,
1989,Virgo,,,,,,,,
1989,Libra,,,,,,,,
1989,Scorpio,,,,,,,,
1989,Sagittarius,,,,,,,,
1989,Capricorn,,,,,,,,
1989,Aquarius,,,,,,,,
1989,Pisces,,,,,,,,
1990,Aries,,,,,,,,
1990,Taurus,,,,,,,,
1990,Gemini,,,,,,,,
1990,Cancer,,,,,,,,
1990,Leo,,,,,,,,
1990,Virgo,,,,,,,,
1990,Libra,,,,,,,,
1990,Scorpio,,,,,,,,
1990,Sagittarius,,,,,,,,
1990,Capricorn,,,,,,,,
1990,Aquarius,,,,,,,,
1990,Pisces,,,,,,,,
1991,Aries,,,,,,,,
1991,Taurus,,,,,,,,
1991,Gemini,,,,,,,,
1991,Cancer,,,,,,,,
1991,Leo,,,,,,,,
1991,Virgo,,,,,,,,
1991,Libra,,,,,,,,
1991,Scorpio,,,,,,,,
1991,Sagittarius,,,,,,,,
1991,Capricorn,,,,,,,,
1991,Aquarius,,,,,,,,
1991,Pisces,,,,,,,,
1992,Aries,,,,,,,,
1992,Taurus,,,,,,,,
1992,Gemini,,,,,,,,
1992,Cancer,,,,,,,,
1992,Leo,,,,,,,,
1992,Virgo,,,,,,,,
1992,Libra,,,,,,,,
1992,Scorpio,,,,,,,,
1992,Sagittarius,,,,,,,,
1992,Capricorn,,,,,,,,
1992,Aquarius,,,,,,,,
1992,Pisces,,,,,,,,
1993,Aries,,,,,,,,
1993,Taurus,,,,,,,,
1993,Gemini,,,,,,,,
1993,Cancer,,,,,,,,
1993,Leo,,,,,,,,
1993,Virgo,,,,,,,,
1993,Libra,,,,,,,,
1993,Scorpio,,,,,,,,
1993,Sagittarius,,,,,,,,
1993,Capricorn,,,,,,,,
1993,Aquarius,,,,,,,,
1993,Pisces,,,,,,,,
1994,Aries,,,,,,,,
1994,Taurus,,,,,,,,
1994,Gemini,,,,,,,,
1994,Cancer,,,,,,,,
1994,Leo,,,,,,,,
1994,Virgo,,,,,,,,
1994,Libra,,,,,,,,
1994,Scorpio,,,,,,,,
1994,Sagittarius,,,,,,,,
1994,Capricorn,,,,,,,,
1994,Aquarius,,,,,,,,
1994,Pisces,,,,,,,,
1995,Aries,,,,,,,,
1995,Taurus,,,,,,,,
1995,Gemini,,,,,,,,
1995,Cancer,,,,,,,,
1995,Leo,,,,,,,,
1995,Virgo,,,,,,,,
1995,Libra,,,,,,,,
1995,Scorpio,,,,,,,,
1995,Sagittarius,,,,,,,,
1995,Capricorn,,,,,,,,
1995,Aquarius,,,,,,,,
1995,Pisces,,,,,,,,
1996,Aries,,,,,,,,
1996,Taurus,,,,,,,,
1996,Gemini,,,,,,,,
1996,Cancer,,,,,,,,
1996,Leo,,,,,,,,
1996,Virgo,,,,,,,,
1996,Libra,,,,,,,,
1996,Scorpio,,,,,,,,
1996,Sagittarius,,,,,,,,
1996,Capricorn,,,,,,,,
1996,Aquarius,,,,,,,,
1996,Pisces,,,,,,,,
1997,Aries,,,,,,,,
1997,Taurus,,,,,,,,
1997,Gemini,,,,,,,,
1997,Cancer,,,,,,,,
1997,Leo,,,,,,,,
1997,Virgo,,,,,,,,
1997,Libra,,,,,,,,
1997,Scorpio,,,,,,,,
1997,Sagittarius,,,,,,,,
1997,Capricorn,,,,,,,,
1997,Aquarius,,,,,,,,
1997,Pisces,,,,,,,,
1998,Aries,,,,,,,,
1998,Taurus,,,,,,,,
1998,Gemini,,,,,,,,
1998,Cancer,,,,,,,,
1998,Leo,,,,,,,,
1998,Virgo,,,,,,,,
1998,Libra,,,,,,,,
1998,Scorpio,,,,,,,,
1998,Sagittarius,,,,,,,,
1998,Capricorn,,,,,,,,
1998,Aquarius,,,,,,,,
1998,Pisces,,,,,,,,
1999,Aries,,,,,,,,
1999,Taurus,,,,,,,,
1999,Gemini,,,,,,,,
1999,Cancer,,,,,,,,
1999,Leo,,,,,,,,
1999,Virgo,,,,,,,,
1999,Libra,,,,,,,,
1999,Scorpio,,,,,,,,
1999,Sagittarius,,,,,,,,
1999,Capricorn,,,,,,,,
1999,Aquarius,,,,,,,,
1999,Pisces,,,,,,,,
2000,Aries,,,,,,,,
2000,Taurus,,,,,,,,
2000,Gemini,,,,,,,,
2000,Cancer,,,,,,,,
2000,Leo,,,,,,,,
2000,Virgo,,,,,,,,
2000,Libra,,,,,,,,
2000,Scorpio,,,,,,,,
2000,Sagittarius,,,,,,,,
2000,Capricorn,,,,,,,,
2000,Aquarius,,,,,,,,
2000,Pisces,,,,,,,,
